0.01	0.01	0
0.01	0.02	0
0.01	0.03	0
0.01	0.04	0
0.01	0.05	0
0.01	0.06	0
0.01	0.07	0
0.01	0.08	0
0.01	0.09	0
0.01	0.1	0
0.01	0.11	0
0.01	0.12	0
0.01	0.13	0
0.01	0.14	0
0.01	0.15	0
0.01	0.16	0
0.01	0.17	0
0.01	0.18	0
0.01	0.19	0
0.01	0.2	0
0.01	0.21	0
0.01	0.22	0
0.01	0.23	0
0.01	0.24	0
0.01	0.25	0
0.01	0.26	0
0.01	0.27	0
0.01	0.28	0
0.01	0.29	0
0.01	0.3	0
0.01	0.31	0
0.01	0.32	0
0.01	0.33	0
0.01	0.34	0
0.01	0.35	0
0.01	0.36	0
0.01	0.37	0
0.01	0.38	0
0.01	0.39	0
0.01	0.4	0
0.01	0.41	0
0.01	0.42	0
0.01	0.43	0
0.01	0.44	0
0.01	0.45	0
0.01	0.46	0
0.01	0.47	0
0.01	0.48	0
0.01	0.49	0
0.01	0.5	0
0.01	0.51	0
0.01	0.52	0
0.01	0.53	0
0.01	0.54	0
0.01	0.55	0
0.01	0.56	0
0.01	0.57	0
0.01	0.58	0
0.01	0.59	0
0.01	0.6	0
0.01	0.61	0
0.01	0.62	0
0.01	0.63	0
0.01	0.64	0
0.01	0.65	0
0.01	0.66	0
0.01	0.67	0
0.01	0.68	0
0.01	0.69	0
0.01	0.7	0
0.01	0.71	0
0.01	0.72	0
0.01	0.73	0
0.01	0.74	0
0.01	0.75	0
0.01	0.76	0
0.01	0.77	0
0.01	0.78	0
0.01	0.79	0
0.01	0.8	0.0306731
0.01	0.81	0.261568
0.01	0.82	0.506362
0.01	0.83	0.766783
0.01	0.84	1.04489
0.01	0.85	1.34317
0.01	0.86	1.66463
0.01	0.87	2.01301
0.01	0.88	2.39299
0.01	0.89	2.81052
0.01	0.9	3.27338
0.01	0.91	3.79194
0.01	0.92	4.38043
0.01	0.93	5.05916
0.01	0.94	5.85842
0.01	0.95	6.82617
0.01	0.96	8.04477
0.01	0.97	9.67341
0.01	0.98	12.0839
0.01	0.99	16.5355
0.02	0.01	0
